gene,log2FoldChange,AveExpr,t,pvalue,padj,B
AIRE                     ,1.1620375012410573,-0.9472471419790583,4.495182813387798,3.0577550078735426e-05,0.0015186336582409716,2.1684242099660205
ANPEP                    ,1.0618754731786453,-0.861769431851412,4.27708694205248,6.577934064059422e-05,0.0025049587205648338,1.5221228420232258
BALR6                    ,-1.2863741953703802,-1.830258764731304,-4.341866982635714,5.248707525927106e-05,0.0021681996154073366,1.5983977910364873
C14orf180                ,1.0908449322526717,0.33622131081391204,4.763709134100348,1.1644825168347799e-05,0.0007536032043472434,3.14322176846321
CARMN                    ,1.0193376509530643,-0.21852845005357702,4.8182576981965,9.544694077705873e-06,0.000660437917378457,3.2678877199335776
CARNS1                   ,1.0079589919949123,5.26892146101981,3.9892106913656873,0.00017588215742325914,0.004913397981983914,0.4788879291244674
CCL3L3                   ,-1.092128080384453,-0.37334889897159645,-3.56867781274677,0.0006942883869491044,0.012271793676814375,-0.48139741799838554
CDC27P10                 ,1.0501855268859361,-2.6321130910006447,3.5149195062557106,0.0008225891873321622,0.013603642100122309,-0.6869950280602968
CDC27P11                 ,1.328686965526013,-1.86368459314237,4.660095888710535,1.694744287054415e-05,0.0009671340731457195,2.5539649649609233
CDHR5                    ,1.7404704572385454,1.2560146010574602,7.91784194271436,5.09227130161152e-11,8.020530990890209e-08,14.464462907717209
CERCAM                   ,1.0414645004194067,6.373138841572624,4.384018642855755,4.5279487016441096e-05,0.001981027867510427,1.7338972718559944
CLDN5                    ,1.013465506239101,3.2198138176378133,4.5076846658642635,2.924901031015263e-05,0.0014710056106211353,2.256573102293401
CLEC4M                   ,1.1883478404205468,-3.0993872955159696,3.6371548583418973,0.000558278691296779,0.010543300598801904,-0.38083575405179815
COL18A1-AS1              ,1.0446028364611057,-1.6516602023905176,3.837085768186807,0.00029169440736327365,0.006853078152945264,0.2031693718485812
CSNK1G2-AS1              ,1.0654549146283687,-1.9066780942480497,3.9297363856184857,0.00021460194094563884,0.005645940308719478,0.44103041696784473
DAP-DT                   ,-1.057352580620142,-4.114064593973962,-4.257311924136738,7.045002424624343e-05,0.0026247239713055323,1.3208101292691463
DMBT1L1                  ,-1.2366088050817359,-1.2235023122410356,-3.6953746179328024,0.00046300225406312135,0.009412068536907313,-0.15803718325031468
DNAH17-AS1               ,1.2855694742302322,-0.996900442483482,4.386691825217069,4.485633234799128e-05,0.0019690779738400278,1.8344237217533559
DOK7                     ,1.0236933480179424,0.9316520553531424,4.461778475245566,3.442184906012571e-05,0.0016468951744732807,2.1881760569403763
DRD4                     ,1.298360977427334,-1.4694765933676184,4.768273268590195,1.145304875268911e-05,0.0007466868379358049,2.929947779122788
DRGX                     ,1.0438950074871256,-0.25859294872408206,3.1328417207468315,0.002630743152295826,0.027526721057893836,-1.6267835903808594
FRMD6-AS2                ,-1.2934784262973873,-2.0190393972956704,-4.743888022975109,1.2514708113026717e-05,0.0007897101709271474,2.749996774399132
FZD10                    ,1.0794588491416888,-1.8170229803682416,4.774207342913773,1.120831916118989e-05,0.0007383539034207701,2.8963461847876575
GC                       ,-1.0517485522912886,-3.359105781166525,-3.8490587029170573,0.00028041091401004564,0.006687740854063935,0.16461977519352722
GRIFIN                   ,1.4205233038978387,-0.947288593045507,7.26722174444077,6.965931278954452e-10,6.857262751002762e-07,11.242907701577362
HPN-AS1                  ,1.1098045619336157,0.38359279514185357,3.716014882603358,0.00043311791886285934,0.008994963698915587,-0.07723804628365638
IRF7                     ,1.1646757803812835,1.5526595929894285,6.687132776462604,7.10498388266178e-09,4.054577469038989e-06,10.024373254564646
ITGB4                    ,1.108829042143201,3.76159155204395,4.203323980207131,8.48958570366632e-05,0.0029900351222501348,1.2295452602847359
JPH2                     ,1.167723366150577,-1.5889201450797286,4.1740661110406005,9.388192129812022e-05,0.003238944175231563,1.1528414027947793
KLHDC7A                  ,-1.1959612210526962,-3.281052800808296,-3.133968360614747,0.00262204084591829,0.027480830542687934,-1.625851637131766
KLRC1                    ,-1.169486618808133,-2.029561573726621,-3.7312484581541647,0.00041225380125897205,0.00873676301311802,-0.1155949583563034
LINC00517                ,-1.1174158292645906,-1.5599851246485674,-4.202936402723343,8.500926725521863e-05,0.0029913538046840832,1.2330788041953218
LINC01147                ,-1.1889060310654913,-3.8072209241200685,-4.793417217427675,1.0450614315088829e-05,0.000703424597044338,2.853975642263154
LINC01500                ,-1.1285437970810608,-3.3824703849504862,-3.7624445944459817,0.0003724868730312242,0.008161960552296874,-0.06232761925573893
LINC01508                ,-1.0185020939871126,-3.4078062111099015,-3.1802344869201735,0.002287092251919931,0.02567176297365998,-1.5171511622428469
LINC01509                ,-1.0709321349532828,-4.064510812348252,-3.535277364226561,0.0007715559280125914,0.013072627461886316,-0.6315050410810628
LINC01978                ,1.0192239520660331,-1.7555473605207599,3.1106270099946136,0.002807951508268753,0.028636596371300293,-1.6652902945845192
LINC02066                ,-1.110213761097718,-3.6538124503578238,-4.125175484231239,0.00011098709537223809,0.0036297573649312687,0.9246281318545932
LINC02378                ,-1.3922506016102933,-4.019574613701806,-4.79090700273726,1.0546706032006348e-05,0.0007086810524168633,2.866351285517906
LINC02472                ,-1.160684890384049,-3.94609318831446,-4.116963453670972,0.00011414100534965231,0.0037082642134058656,0.9167737863016914
LINC02543                ,-1.2775595891012017,-3.455313995010424,-4.283594049937696,6.430909433774313e-05,0.0024672228556289247,1.3620656128983946
LINC02706                ,-1.2295923311772987,-3.736927412091102,-4.705019733312835,1.4408622827463298e-05,0.0008648376973621266,2.5879939606182916
LINC02725                ,-1.4487581962393508,-3.9937798388994277,-4.4313688167602985,3.832731927045907e-05,0.0017806297386883958,1.8114499692549524
LINC02999                ,-1.049362308723493,-3.9135272533093137,-4.491080691091993,3.102612775463106e-05,0.0015328542113755995,1.9752764328056562
LOC100130331             ,-1.1838987856180383,-0.29680440062184965,-3.6835973793536207,0.0004809263649894119,0.009617550303617614,-0.16321761007558866
LOC100507548             ,-1.0877021901133141,-4.316684252397689,-4.159844820956169,9.857537398021222e-05,0.0033664387908454783,1.0591280813449728
LOC100996671             ,-1.0334429183208016,-2.7999915823950414,-3.096994883674519,0.002922158339807038,0.029360272209298783,-1.7133878502663138
LOC101927513             ,-1.0471994370896986,-3.7858278151472815,-3.857449363148038,0.0002727542444954331,0.006568789682723042,0.2012020613225438
LOC101929373             ,-1.091213643942198,-3.0840321897327123,-3.73226289246025,0.0004108990957638313,0.00872684077389246,-0.14601103134418025
LOC102723560             ,-1.2333906912981556,-3.9149660481836612,-4.532923339874081,2.6735924704217017e-05,0.0013797559254957396,2.097642350943671
LOC102723798             ,1.075228368863539,-1.5554211018051887,3.4769226001547406,0.0009265325326112586,0.014788465749534218,-0.7504835215754566
LOC102724632             ,1.6277937376987248,-1.5161936553689535,5.608707793621172,4.900379139885964e-07,8.38944908748477e-05,5.5707829931150545
LOC105369496             ,-1.0137503669690653,-2.6099220826679836,-3.7442945708337234,0.0003951528741469267,0.008502480640660866,-0.11231379719572132
LOC105369576             ,-1.036826651737111,-3.0465315523210448,-3.1677563383618157,0.002373244492694279,0.02590764489723591,-1.5485264024641543
LOC105369677             ,-1.0694754103638262,-4.297204100547744,-3.6349793064403166,0.0005621786912054661,0.010589927018050222,-0.3664107642689709
LOC105370058             ,-1.2838090326480631,-2.82542829602085,-4.773255679425017,1.1247220138662513e-05,0.0007393498166610603,2.76535841543486
LOC105370599             ,-1.2782274019791164,-2.9687936954255614,-4.257770892058945,7.033806646073289e-05,0.0026247239713055323,1.2799777617622956
LOC105370923             ,-1.0589346285068149,-3.451072113301394,-3.5325272597345534,0.0007782697477828828,0.013151572896839844,-0.654161096087388
LOC105370935             ,-1.1453643897720787,-0.7645836805617007,-5.6846435605869035,3.657560783003119e-07,7.12970858373915e-05,6.020598710209079
LOC105371243             ,-1.0213929711562106,-1.5463932520710384,-4.876165243323358,7.7206690105214e-06,0.000557814794418882,3.2398198534285614
LOC105371903             ,1.0755547850195961,0.14389335142048548,4.758028655999188,1.1887894857103892e-05,0.0007615627504530352,3.110212650027262
LOC105371926             ,1.3880732858816622,-2.0598078694090995,5.743717971612057,2.911027751403177e-07,5.988916571906062e-05,5.88538471876782
LOC105372029             ,-1.2359241560086898,-2.925667492563788,-4.401953046658162,4.251308526523096e-05,0.0018978608972663466,1.6891555721498817
LOC105372253             ,1.1759402447265437,-2.0823556101612537,4.913161004970644,6.73891771629333e-06,0.0005122618223875796,3.2833902350358093
LOC105372679             ,-1.1336173290145832,-4.5341763353768965,-5.515017896327189,7.019550338208981e-07,0.00011079741573662815,5.144699058334373
LOC105373014             ,-1.2060881368501812,-2.6826309888092914,-4.424265406440732,3.929984104131277e-05,0.0018120263944294284,1.7538128071934134
LOC105373083             ,1.0362569442008447,0.6836947734141496,4.7989097633618165,1.024333346456859e-05,0.0006918379048042072,3.2792062690723824
LOC105373220             ,-1.2654101964376507,-3.6570378866324513,-4.356751501413804,4.9823188486594016e-05,0.00210723723936426,1.575765502355507
LOC105373448             ,-1.0630757724649245,-3.9399479327316684,-4.67528511100752,1.6043699058319022e-05,0.0009236646654177147,2.514996303637721
