Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,AMPK signaling pathway,2/120,0.0228926842179641,0.2732252761706162,0,0,9.089784699954192,34.331552208173605,FASN;ULK1
KEGG_2021_Human,Human papillomavirus infection,3/331,0.0264648208837765,0.2732252761706162,0,0,4.988058943089431,18.116325519084924,APC2;HES6;SCRIB
KEGG_2021_Human,Spinocerebellar ataxia,2/143,0.0316561014189748,0.2732252761706162,0,0,7.598236534406747,26.23537628353784,ULK1;CIC
KEGG_2021_Human,Fatty acid biosynthesis,1/18,0.0345384624837867,0.2732252761706162,0,0,30.87306501547988,103.9089106040704,FASN
KEGG_2021_Human,Hippo signaling pathway,2/163,0.0401801876721494,0.2732252761706162,0,0,6.647641430250126,21.36805396228198,APC2;SCRIB
KEGG_2021_Human,"Alanine, aspartate and glutamate metabolism",1/37,0.069734529574374,0.3687504409569205,0,0,14.565058479532164,38.78761998968224,NAT8L
KEGG_2021_Human,Endometrial cancer,1/58,0.1071813851873263,0.3687504409569205,0,0,9.189289012003693,20.521820629243667,APC2
KEGG_2021_Human,Basal cell carcinoma,1/63,0.1158784589932221,0.3687504409569205,0,0,8.44609507640068,18.20313732406536,APC2
KEGG_2021_Human,GnRH secretion,1/64,0.1176079411425133,0.3687504409569205,0,0,8.311612364243944,17.790164457878866,HCN2
KEGG_2021_Human,Mitophagy,1/68,0.1244929653895161,0.3687504409569205,0,0,7.813825608798115,16.280153066858286,ULK1
KEGG_2021_Human,Colorectal cancer,1/86,0.1548332599823739,0.3687504409569205,0,0,6.153560371517028,11.47889141140809,APC2
KEGG_2021_Human,ECM-receptor interaction,1/88,0.158140481504937,0.3687504409569205,0,0,6.011494252873563,11.086827628444034,AGRN
KEGG_2021_Human,Alzheimer disease,2/369,0.1615915459751291,0.3687504409569205,0,0,2.885926798733338,5.260131010424397,APC2;ULK1
KEGG_2021_Human,Longevity regulating pathway,1/102,0.1809405372087481,0.3687504409569205,0,0,5.174570088587807,8.846376850561835,ULK1
KEGG_2021_Human,Glutamatergic synapse,1/114,0.2000036451419073,0.3687504409569205,0,0,4.622263623660922,7.439162073918401,SHANK3
KEGG_2021_Human,Insulin signaling pathway,1/137,0.2353403621082968,0.3687504409569205,0,0,3.836106811145511,5.549781895253681,FASN
KEGG_2021_Human,Autophagy,1/137,0.2353403621082968,0.3687504409569205,0,0,3.836106811145511,5.549781895253681,ULK1
KEGG_2021_Human,Pathways of neurodegeneration,2/475,0.2367532551868144,0.3687504409569205,0,0,2.2270727387006457,3.208625645447215,APC2;ULK1
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,1/143,0.2443055937691728,0.3687504409569205,0,0,3.6729058561897694,5.176356258133643,APC2
KEGG_2021_Human,Breast cancer,1/147,0.2502254284951936,0.3687504409569205,0,0,3.5715573179524154,4.948010698250294,APC2
KEGG_2021_Human,Gastric cancer,1/149,0.2531683771269965,0.3687504409569205,0,0,3.522937411095306,4.8394608456599695,APC2
KEGG_2021_Human,mTOR signaling pathway,1/154,0.260476593715873,0.3687504409569205,0,0,3.4069487444100446,4.58317147362036,ULK1
KEGG_2021_Human,Cushing syndrome,1/155,0.2619298523456677,0.3687504409569205,0,0,3.384654818865345,4.534349460692842,APC2
KEGG_2021_Human,Wnt signaling pathway,1/166,0.2777331718645593,0.3687504409569205,0,0,3.15725677830941,4.0447441032211655,APC2
KEGG_2021_Human,Hepatocellular carcinoma,1/168,0.2805708625734625,0.3687504409569205,0,0,3.119130160731169,3.964192840145636,APC2
KEGG_2021_Human,Tight junction,1/169,0.281985631319998,0.3687504409569205,0,0,3.100407268170426,3.924802962970881,SCRIB
KEGG_2021_Human,Viral carcinogenesis,1/203,0.3285073739713579,0.4081001543774747,0,0,2.574127149557061,2.8655080306967835,SCRIB
KEGG_2021_Human,cAMP signaling pathway,1/216,0.3455075194468088,0.4081001543774747,0,0,2.416891064871481,2.568528917943969,HCN2
KEGG_2021_Human,Regulation of actin cytoskeleton,1/218,0.348085425792552,0.4081001543774747,0,0,2.3943730293475625,2.5267994634958897,APC2
KEGG_2021_Human,Cytokine-cytokine receptor interaction,1/295,0.4401514155857114,0.4850838957075946,0,0,1.7603831006086643,1.4446345998252048,TNFRSF25
KEGG_2021_Human,Huntington disease,1/306,0.4522230534993889,0.4850838957075946,0,0,1.6959447799827438,1.3458674170075935,ULK1
KEGG_2021_Human,MicroRNAs in cancer,1/310,0.4565495489012655,0.4850838957075946,0,0,1.6736501447794243,1.3122388588228469,APC2
KEGG_2021_Human,Amyotrophic lateral sclerosis,1/364,0.5117974580654973,0.5273064719462699,0,0,1.4207626504277222,0.951664220464001,ULK1
KEGG_2021_Human,Pathways in cancer,1/531,0.6502208222926932,0.6502208222926932,0,0,0.9647964250248262,0.4152901060575869,APC2
