Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,Gap Junction Hemi-Channel Activity (GO:0055077),1/5,0.0097129155448507,0.1659820914911048,0,0,131.29605263157896,608.465136485093,PANX2
GO_Molecular_Function_2023,Tumor Necrosis Factor Receptor Activity (GO:0005031),1/8,0.0154965058075421,0.1659820914911048,0,0,75.01503759398496,312.59821718825697,TNFRSF25
GO_Molecular_Function_2023,Intracellular cAMP-activated Cation Channel Activity (GO:0005222),1/8,0.0154965058075421,0.1659820914911048,0,0,75.01503759398496,312.59821718825697,HCN2
GO_Molecular_Function_2023,Intracellular Cyclic Nucleotide Activated Monoatomic Cation Channel Activity (GO:0005221),1/10,0.0193339377497966,0.1659820914911048,0,0,58.33918128654971,230.20018425524987,HCN2
GO_Molecular_Function_2023,Fatty Acid Synthase Activity (GO:0004312),1/10,0.0193339377497966,0.1659820914911048,0,0,58.33918128654971,230.20018425524987,FASN
GO_Molecular_Function_2023,Death Receptor Activity (GO:0005035),1/11,0.0212471852336025,0.1659820914911048,0,0,52.502631578947366,202.2155053364779,TNFRSF25
GO_Molecular_Function_2023,Ionotropic Glutamate Receptor Binding (GO:0035255),1/11,0.0212471852336025,0.1659820914911048,0,0,52.502631578947366,202.2155053364779,SHANK3
GO_Molecular_Function_2023,GTPase Inhibitor Activity (GO:0005095),1/12,0.0231567959712164,0.1659820914911048,0,0,47.72727272727273,179.71546945510647,TNK2
GO_Molecular_Function_2023,Cadherin Binding (GO:0045296),3/319,0.0240613621987666,0.1659820914911048,0,0,5.180643459915612,19.30902466839207,FASN;SCRIB;PLEC
GO_Molecular_Function_2023,Wnt Receptor Activity (GO:0042813),1/16,0.0307590049844483,0.1659820914911048,0,0,34.99298245614035,121.8306048026202,PKD1
GO_Molecular_Function_2023,Glutamate Receptor Binding (GO:0035254),1/18,0.0345384624837867,0.1659820914911048,0,0,30.87306501547988,103.9089106040704,SHANK3
GO_Molecular_Function_2023,Ankyrin Binding (GO:0030506),1/18,0.0345384624837867,0.1659820914911048,0,0,30.87306501547988,103.9089106040704,PLEC
GO_Molecular_Function_2023,Voltage-Gated Sodium Channel Activity (GO:0005248),1/19,0.0364228027645029,0.1659820914911048,0,0,29.156432748538013,96.58244018092805,HCN2
GO_Molecular_Function_2023,Gap Junction Channel Activity (GO:0005243),1/20,0.0383035595748703,0.1659820914911048,0,0,27.62049861495845,90.10393439678076,PANX2
GO_Molecular_Function_2023,WW Domain Binding (GO:0050699),1/20,0.0383035595748703,0.1659820914911048,0,0,27.62049861495845,90.10393439678076,TNK2
GO_Molecular_Function_2023,N-acetyltransferase Activity (GO:0008080),1/23,0.043924395374042,0.1693873237599306,0,0,23.85047846889952,74.53955237955424,NAT8L
GO_Molecular_Function_2023,Epidermal Growth Factor Receptor Binding (GO:0005154),1/25,0.0476538230195537,0.1693873237599306,0,0,21.86074561403509,66.53957181391064,TNK2
GO_Molecular_Function_2023,Wide Pore Channel Activity (GO:0022829),1/25,0.0476538230195537,0.1693873237599306,0,0,21.86074561403509,66.53957181391064,PANX2
GO_Molecular_Function_2023,Protein Serine/Threonine/Tyrosine Kinase Activity (GO:0004712),1/26,0.0495132177144412,0.1693873237599306,0,0,20.98526315789473,63.07153622173417,TNK2
GO_Molecular_Function_2023,Protein Kinase C Binding (GO:0005080),1/36,0.0679136874331451,0.197075844449318,0,0,14.981954887218045,40.29423258768696,CAVIN2
GO_Molecular_Function_2023,Monoatomic Cation Transmembrane Transporter Activity (GO:0008324),1/37,0.069734529574374,0.197075844449318,0,0,14.565058479532164,38.78761998968224,PKD1
GO_Molecular_Function_2023,Monoatomic Ion Channel Activity (GO:0005216),1/37,0.069734529574374,0.197075844449318,0,0,14.565058479532164,38.78761998968224,PKD1
GO_Molecular_Function_2023,Sodium Channel Activity (GO:0005272),1/37,0.069734529574374,0.197075844449318,0,0,14.565058479532164,38.78761998968224,HCN2
GO_Molecular_Function_2023,Signaling Receptor Complex Adaptor Activity (GO:0030159),1/44,0.0823837366910645,0.2231226202049664,0,0,12.18971848225214,30.43001378397148,SHANK3
