"GeneSymbol","Module"
"RN7SL2","turquoise"
"RN7SL1","green"
"RN7SK","turquoise"
"RN7SL3","turquoise"
"RNA28SN4","turquoise"
"SNORD3A","turquoise"
"LOC107987206","green"
"RNR2","pink"
"TRNC","pink"
"COX1","pink"
"TRNY","pink"
"RNA45SN4","turquoise"
"RPPH1","turquoise"
"RNA28SN5","turquoise"
"RNA45SN3","turquoise"
"RMRP","turquoise"
"TRNN","pink"
"COX3","turquoise"
"RNU1-1","turquoise"
"LOC112268284","turquoise"
"RNU1-3","turquoise"
"RNA28SN2","turquoise"
"RNA45SN2","turquoise"
"RNA45SN5","turquoise"
"TRNS1","turquoise"
"TRNA","pink"
"MIR12136","turquoise"
"COX2","pink"
"RNVU1-7","turquoise"
"TRNP","turquoise"
"LOC105378179","turquoise"
"RNR1","pink"
"RNA28SN3","turquoise"
"RNA45SN1","turquoise"
"RNY1","turquoise"
"RNA18SN5","turquoise"
"RNA28SN1","turquoise"
"ATP6","pink"
"ND3","turquoise"
"CDR1","blue"
"RNA18SN1","turquoise"
"SNORD3D","turquoise"
"SNORA73B","turquoise"
"PLP1","yellow"
"ND4","pink"
"SNORD3C","turquoise"
"BCYRN1","pink"
"SNORA63","grey"
"CYTB","pink"
"ND4L","pink"
"ND1","pink"
"WDR74","turquoise"
"PARP2","turquoise"
"TRNE","pink"
"SNORD3B-1","turquoise"
"RNU1-4","turquoise"
"TALAM1","blue"
"MALAT1","blue"
"SNAP25","turquoise"
"TRNL1","pink"
"HSPA1A","red"
"TUBA1B","turquoise"
"SLC1A2","brown"
"HSPA1B","red"
"ND5","pink"
"GAPDH","turquoise"
"TMSB10","turquoise"
"ND2","pink"
"HSPA8","turquoise"
"SNORA73A","blue"
"TRNT","turquoise"
"CALM1","turquoise"
"SNORD3B-2","turquoise"
"TRNQ","blue"
"TRNI","blue"
"SPARCL1","turquoise"
"RNU4-2","turquoise"
"RNU1-2","turquoise"
"TRNW","pink"
"RNA18SN2","turquoise"
"SCARNA2","turquoise"
"UCHL1","turquoise"
"ATP8","pink"
"RNA18SN4","grey"
"TRNM","turquoise"
"EIF4A2","turquoise"
"ACTB","turquoise"
"TRNG","turquoise"
"SCARNA5","pink"
"YWHAH","turquoise"
"SCARNA10","turquoise"
"RNA5-8SN4","turquoise"
"MBP","yellow"
"SNORD133","turquoise"
"UBC","turquoise"
"TRNR","pink"
"RNA5-8SN3","turquoise"
"SYT1","turquoise"
"MAP1B","turquoise"
"CLU","brown"
"GFAP","brown"
"RNY3","turquoise"
"TMSB4X","turquoise"
"ATP1B1","turquoise"
"STMN2","turquoise"
"VSNL1","turquoise"
"MDH1","turquoise"
"PEBP1","turquoise"
"SYP","turquoise"
"HSP90AA1","turquoise"
"CHN1","turquoise"
"NEFL","turquoise"
"PTGDS","turquoise"
"CALM3","turquoise"
"ENC1","turquoise"
"MIR10393","brown"
"APP","turquoise"
"HSP90AB1","turquoise"
"MT3","brown"
"SERINC1","turquoise"
"YWHAG","turquoise"
"H4C5","turquoise"
"CKB","turquoise"
"TUBA1A","turquoise"
"LOC112268313","turquoise"
"ATP5F1B","turquoise"
"CAMK2A","turquoise"
"SCARNA7","turquoise"
"ENO2","turquoise"
"SNORD108","turquoise"
"MTURN","yellow"
"GLUL","brown"
"GPM6A","turquoise"
"BEX1","turquoise"
"PSAP","turquoise"
"RNA18SN3","turquoise"
"SNORA48","turquoise"
"CPE","turquoise"
"TUBB2A","turquoise"
"MAP2","turquoise"
"RGS4","turquoise"
"CALM2","turquoise"
"SLC1A3","brown"
"SNORD17","blue"
"UBB","turquoise"
"SERPINI1","turquoise"
"ND6","pink"
"KIF5A","blue"
"NRGN","turquoise"
"SELENOW","turquoise"
"EEF1A2","turquoise"
"ALDOC","turquoise"
"MIR6717","brown"
"TRND","pink"
"COX6A1","turquoise"
"OAZ1","turquoise"
"PRNP","turquoise"
"MAP1A","turquoise"
"SNORA49","turquoise"
"AQP4","brown"
"ACTG1","turquoise"
"SOD1","turquoise"
"PFN2","turquoise"
"DPYSL2","turquoise"
"PJA2","turquoise"
"ATP1A2","brown"
"NORAD","turquoise"
"AP2M1","turquoise"
"TRNF","grey"
"BASP1","turquoise"
"EEF1A1","pink"
"SNORA54","turquoise"
"NAPB","turquoise"
"ATP1A3","turquoise"
"TRY-GTA5-5","black"
"SNORD64","turquoise"
"EEF2","turquoise"
"RNVU1-18","turquoise"
"IDS","turquoise"
"SCD","yellow"
"LDHB","turquoise"
"MIR1244-1","yellow"
"APOE","brown"
"OLFM1","turquoise"
"DIRAS2","turquoise"
"ARL6IP1","turquoise"
"DNM1","turquoise"
"GDI1","turquoise"
"MIR3648-1","turquoise"
"TAGLN3","turquoise"
"MIR3609","turquoise"
"NSF","turquoise"
"FOS","red"
"CLSTN1","turquoise"
"PKM","turquoise"
"FTL","brown"
"GABARAPL1","turquoise"
"COX7C","turquoise"
"BCAS1","yellow"
"DYNLL1","turquoise"
"PPP3CA","turquoise"
