Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Keratinocyte Migration (GO:0051547),2/11,0.000212071277436947,0.0810112279809137,0,0,116.67251461988305,986.8847467329822,PTEN;ARF6
GO_Biological_Process_2023,Protein O-linked Mannosylation (GO:0035269),2/16,0.0004597842333580924,0.0878187885713956,0,0,74.98496240601504,576.2409325339859,TMTC3;TMTC2
GO_Biological_Process_2023,Protein Mannosylation (GO:0035268),2/21,0.0007995517676019706,0.093941978295456,0,0,55.2382271468144,393.92916747621626,TMTC3;TMTC2
GO_Biological_Process_2023,Negative Regulation Of Intracellular Protein Transport (GO:0090317),2/25,0.0011364569536468,0.093941978295456,0,0,45.62242562929062,309.3127366723546,BARD1;BAG4
GO_Biological_Process_2023,Establishment Or Maintenance Of Apical/Basal Cell Polarity (GO:0035088),2/26,0.001229607045752,0.093941978295456,0,0,43.719298245614034,292.96566849145233,PARD6B;ERBIN
GO_Biological_Process_2023,Positive Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903052),2/31,0.0017482077236044,0.1079020292081857,0,0,36.172413793103445,229.6645937348641,PTEN;TMTC3
GO_Biological_Process_2023,Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),5/452,0.0019772623153332,0.1079020292081857,0,0,6.236177692553532,38.82670460789704,MYBBP1A;ZNF516;MIER1;ZNF22;SSBP2
GO_Biological_Process_2023,Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity (GO:0045197),2/40,0.0028993544104051,0.1384441730968467,0,0,27.59279778393352,161.23208980213658,PARD6B;ERBIN
GO_Biological_Process_2023,Cell-Cell Junction Organization (GO:0045216),2/68,0.0081742109725009,0.139541924767974,0,0,15.864433811802233,76.25670171031994,PARD6B;CXADR
GO_Biological_Process_2023,Negative Regulation Of Excitatory Postsynaptic Potential (GO:0090394),1/5,0.0099609694951761,0.139541924767974,0,0,127.92307692307692,589.6078070933972,PTEN
GO_Biological_Process_2023,Ruffle Assembly (GO:0097178),1/5,0.0099609694951761,0.139541924767974,0,0,127.92307692307692,589.6078070933972,ARF6
GO_Biological_Process_2023,Negative Regulation Of Cell Size (GO:0045792),1/5,0.0099609694951761,0.139541924767974,0,0,127.92307692307692,589.6078070933972,PTEN
GO_Biological_Process_2023,Postsynaptic Density Assembly (GO:0097107),1/5,0.0099609694951761,0.139541924767974,0,0,127.92307692307692,589.6078070933972,PTEN
GO_Biological_Process_2023,Prepulse Inhibition (GO:0060134),1/5,0.0099609694951761,0.139541924767974,0,0,127.92307692307692,589.6078070933972,PTEN
GO_Biological_Process_2023,Positive Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902043),1/5,0.0099609694951761,0.139541924767974,0,0,127.92307692307692,589.6078070933972,PTEN
GO_Biological_Process_2023,Protein Polyubiquitination (GO:0000209),3/226,0.010342173636784,0.139541924767974,0,0,7.176221064113441,32.806275547822544,BARD1;RMND5A;CBFB
GO_Biological_Process_2023,Monoatomic Cation Homeostasis (GO:0055080),2/77,0.010381380159978,0.139541924767974,0,0,13.95438596491228,63.740027135097975,SLC39A10;TMTC2
GO_Biological_Process_2023,Positive Regulation Of Catabolic Process (GO:0009896),2/79,0.010903898802162,0.139541924767974,0,0,13.590567327409431,61.41081136661272,BARD1;PTEN
GO_Biological_Process_2023,Negative Regulation Of Dendritic Spine Development (GO:0061000),1/6,0.0119415311049953,0.139541924767974,0,0,102.33333333333331,453.1046714729428,PTEN
GO_Biological_Process_2023,AV Node Cell To Bundle Of His Cell Communication (GO:0086067),1/6,0.0119415311049953,0.139541924767974,0,0,102.33333333333331,453.1046714729428,CXADR
GO_Biological_Process_2023,Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion (GO:0086042),1/6,0.0119415311049953,0.139541924767974,0,0,102.33333333333331,453.1046714729428,CXADR
GO_Biological_Process_2023,Positive Regulation Of B Cell Receptor Signaling Pathway (GO:0050861),1/6,0.0119415311049953,0.139541924767974,0,0,102.33333333333331,453.1046714729428,SLC39A10
GO_Biological_Process_2023,Locomotor Rhythm (GO:0045475),1/6,0.0119415311049953,0.139541924767974,0,0,102.33333333333331,453.1046714729428,PTEN
GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),9/1922,0.0120642460472893,0.139541924767974,0,0,2.738866499165304,12.098967609135562,MYBBP1A;CBFB;AEBP2;ZNF516;MIER1;IRF2BP2;ZNF22;SSBP2;ZBTB41
GO_Biological_Process_2023,Negative Regulation Of Cell Cycle (GO:0045786),2/85,0.0125397246651869,0.139541924767974,0,0,12.60431198478123,55.192438177352464,BARD1;PTEN
GO_Biological_Process_2023,Negative Regulation Of Mitochondrial Fusion (GO:0010637),1/7,0.0139182304660795,0.139541924767974,0,0,85.27350427350427,364.50634834293606,OMA1
GO_Biological_Process_2023,"Regulation Of Wound Healing, Spreading Of Epidermal Cells (GO:1903689)",1/7,0.0139182304660795,0.139541924767974,0,0,85.27350427350427,364.50634834293606,PTEN
GO_Biological_Process_2023,Histone H2A K63-linked Deubiquitination (GO:0070537),1/7,0.0139182304660795,0.139541924767974,0,0,85.27350427350427,364.50634834293606,BARD1
GO_Biological_Process_2023,Postsynaptic Density Organization (GO:0097106),1/7,0.0139182304660795,0.139541924767974,0,0,85.27350427350427,364.50634834293606,PTEN
GO_Biological_Process_2023,Positive Regulation Of Protein Catabolic Process (GO:0045732),2/92,0.0145749395768204,0.139541924767974,0,0,11.619883040935672,49.13411411024672,BARD1;TMTC3
GO_Biological_Process_2023,Protein O-linked Glycosylation (GO:0006493),2/93,0.0148766104003455,0.139541924767974,0,0,11.491613649508386,48.356308848882506,TMTC3;TMTC2
GO_Biological_Process_2023,Cell Junction Assembly (GO:0034329),2/95,0.0154880314367592,0.139541924767974,0,0,11.243350311262024,46.85877300929464,PARD6B;PTEN
GO_Biological_Process_2023,Positive Regulation Of Ubiquitin Protein Ligase Activity (GO:1904668),1/8,0.0158910747267934,0.139541924767974,0,0,73.08791208791209,302.7299612299731,PTEN
GO_Biological_Process_2023,Regulation Of Organ Growth (GO:0046620),1/8,0.0158910747267934,0.139541924767974,0,0,73.08791208791209,302.7299612299731,PTEN
GO_Biological_Process_2023,Brown Fat Cell Differentiation (GO:0050873),1/8,0.0158910747267934,0.139541924767974,0,0,73.08791208791209,302.7299612299731,ZNF516
GO_Biological_Process_2023,Presynaptic Membrane Assembly (GO:0097105),1/8,0.0158910747267934,0.139541924767974,0,0,73.08791208791209,302.7299612299731,PTEN
GO_Biological_Process_2023,Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162),2/98,0.0164251905747383,0.139541924767974,0,0,10.890350877192985,44.74778866221147,ZNF516;OMA1
GO_Biological_Process_2023,Positive Regulation Of Apoptotic Process (GO:0043065),3/270,0.0166404790278041,0.139541924767974,0,0,5.980261160036441,24.49465368637108,BARD1;MYBBP1A;OMA1
GO_Biological_Process_2023,Axon Development (GO:0061564),2/99,0.0167428723048413,0.139541924767974,0,0,10.777536625067825,44.07778224845661,PARD6B;CAMSAP2
GO_Biological_Process_2023,Excitatory Synapse Assembly (GO:1904861),1/9,0.0178600710727219,0.139541924767974,0,0,63.94871794871795,257.40559445949555,PTEN
GO_Biological_Process_2023,Positive Regulation Of Keratinocyte Migration (GO:0051549),1/9,0.0178600710727219,0.139541924767974,0,0,63.94871794871795,257.40559445949555,ARF6
GO_Biological_Process_2023,Telomere Maintenance Via Recombination (GO:0000722),1/9,0.0178600710727219,0.139541924767974,0,0,63.94871794871795,257.40559445949555,PTEN
GO_Biological_Process_2023,Mitotic Nuclear Membrane Organization (GO:0101024),1/9,0.0178600710727219,0.139541924767974,0,0,63.94871794871795,257.40559445949555,BROX
GO_Biological_Process_2023,Mitotic Nuclear Membrane Reassembly (GO:0007084),1/9,0.0178600710727219,0.139541924767974,0,0,63.94871794871795,257.40559445949555,BROX
GO_Biological_Process_2023,Negative Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014067),1/9,0.0178600710727219,0.139541924767974,0,0,63.94871794871795,257.40559445949555,PTEN
GO_Biological_Process_2023,Myelin Maintenance (GO:0043217),1/9,0.0178600710727219,0.139541924767974,0,0,63.94871794871795,257.40559445949555,PTEN
GO_Biological_Process_2023,Presynaptic Membrane Organization (GO:0097090),1/9,0.0178600710727219,0.139541924767974,0,0,63.94871794871795,257.40559445949555,PTEN
GO_Biological_Process_2023,Positive Regulation Of Metabolic Process (GO:0009893),2/108,0.0197189667761209,0.139541924767974,0,0,9.857994041708045,38.70420311143255,ZNF516;OMA1
GO_Biological_Process_2023,Response To Tumor Necrosis Factor (GO:0034612),2/108,0.0197189667761209,0.139541924767974,0,0,9.857994041708045,38.70420311143255,BAG4;ERBIN
GO_Biological_Process_2023,Mitochondrial Protein Processing (GO:0034982),1/10,0.019825226718581,0.139541924767974,0,0,56.84045584045584,222.8600635525676,OMA1
GO_Biological_Process_2023,SRP-dependent Cotranslational Protein Targeting To Membrane (GO:0006614),1/10,0.019825226718581,0.139541924767974,0,0,56.84045584045584,222.8600635525676,SRP9
GO_Biological_Process_2023,Negative Regulation Of Developmental Process (GO:0051093),2/109,0.0200624358796556,0.139541924767974,0,0,9.765371372356125,38.17191947350519,SINHCAF;OMA1
GO_Biological_Process_2023,Central Nervous System Myelination (GO:0022010),1/11,0.0217865488821679,0.139541924767974,0,0,51.15384615384615,195.7382752343542,PTEN
GO_Biological_Process_2023,Central Nervous System Neuron Axonogenesis (GO:0021955),1/11,0.0217865488821679,0.139541924767974,0,0,51.15384615384615,195.7382752343542,PTEN
GO_Biological_Process_2023,Histone H2A Ubiquitination (GO:0033522),1/11,0.0217865488821679,0.139541924767974,0,0,51.15384615384615,195.7382752343542,BARD1
GO_Biological_Process_2023,Regulation Of mRNA 3'-End Processing (GO:0031440),1/11,0.0217865488821679,0.139541924767974,0,0,51.15384615384615,195.7382752343542,BARD1
GO_Biological_Process_2023,Regulation Of Mitochondrial Fusion (GO:0010635),1/11,0.0217865488821679,0.139541924767974,0,0,51.15384615384615,195.7382752343542,OMA1
GO_Biological_Process_2023,Regulation Of Cell Cycle Checkpoint (GO:1901976),1/11,0.0217865488821679,0.139541924767974,0,0,51.15384615384615,195.7382752343542,BARD1
GO_Biological_Process_2023,Brain Morphogenesis (GO:0048854),1/11,0.0217865488821679,0.139541924767974,0,0,51.15384615384615,195.7382752343542,PTEN
GO_Biological_Process_2023,Cellular Response To Tumor Necrosis Factor (GO:0071356),2/119,0.0236338297872442,0.139541924767974,0,0,8.926225820962664,33.42939523362087,BAG4;ERBIN
GO_Biological_Process_2023,Gamma-Delta T Cell Activation (GO:0046629),1/12,0.023744044790362,0.139541924767974,0,0,46.5011655011655,173.93405340895535,CXADR
GO_Biological_Process_2023,Histone Monoubiquitination (GO:0010390),1/12,0.023744044790362,0.139541924767974,0,0,46.5011655011655,173.93405340895535,BARD1
GO_Biological_Process_2023,Adipose Tissue Development (GO:0060612),1/12,0.023744044790362,0.139541924767974,0,0,46.5011655011655,173.93405340895535,ZNF516
GO_Biological_Process_2023,Response To Muramyl Dipeptide (GO:0032495),1/12,0.023744044790362,0.139541924767974,0,0,46.5011655011655,173.93405340895535,ERBIN
GO_Biological_Process_2023,Negative Regulation Of Cell Cycle Phase Transition (GO:1901988),1/12,0.023744044790362,0.139541924767974,0,0,46.5011655011655,173.93405340895535,PTEN
GO_Biological_Process_2023,Cotranslational Protein Targeting To Membrane (GO:0006613),1/13,0.0256977216686787,0.1418502364521779,0,0,42.623931623931625,156.0612574523752,SRP9
GO_Biological_Process_2023,Positive Regulation Of Histone Acetylation (GO:0035066),1/14,0.0276475867285054,0.1418502364521779,0,0,39.34319526627219,141.17191556098328,MYBBP1A
GO_Biological_Process_2023,Cardiac Cell Development (GO:0055006),1/14,0.0276475867285054,0.1418502364521779,0,0,39.34319526627219,141.17191556098328,CXADR
GO_Biological_Process_2023,Negative Regulation Of Nucleocytoplasmic Transport (GO:0046823),1/14,0.0276475867285054,0.1418502364521779,0,0,39.34319526627219,141.17191556098328,BARD1
GO_Biological_Process_2023,Mitotic Recombination (GO:0006312),1/14,0.0276475867285054,0.1418502364521779,0,0,39.34319526627219,141.17191556098328,PTEN
GO_Biological_Process_2023,Histone H2A Monoubiquitination (GO:0035518),1/14,0.0276475867285054,0.1418502364521779,0,0,39.34319526627219,141.17191556098328,BARD1
GO_Biological_Process_2023,Circulatory System Development (GO:0072359),2/132,0.0286354597579267,0.1418502364521779,0,0,8.02834008097166,28.525571229987936,CXADR;PTEN
GO_Biological_Process_2023,Negative Regulation Of Cell Motility (GO:2000146),2/133,0.0290364144541092,0.1418502364521779,0,0,7.966653274407393,28.19561564340302,PTEN;SINHCAF
GO_Biological_Process_2023,Negative Regulation Of Focal Adhesion Assembly (GO:0051895),1/15,0.0295936471887674,0.1418502364521779,0,0,36.53113553113553,128.5967411966507,PTEN
GO_Biological_Process_2023,Regulation Of Rac Protein Signal Transduction (GO:0035020),1/15,0.0295936471887674,0.1418502364521779,0,0,36.53113553113553,128.5967411966507,ARF6
GO_Biological_Process_2023,Dendritic Spine Morphogenesis (GO:0060997),1/15,0.0295936471887674,0.1418502364521779,0,0,36.53113553113553,128.5967411966507,PTEN
GO_Biological_Process_2023,Positive Regulation Of Transcription By RNA Polymerase III (GO:0045945),1/15,0.0295936471887674,0.1418502364521779,0,0,36.53113553113553,128.5967411966507,MYBBP1A
GO_Biological_Process_2023,Negative Regulation Of Cell-Substrate Junction Organization (GO:0150118),1/15,0.0295936471887674,0.1418502364521779,0,0,36.53113553113553,128.5967411966507,PTEN
GO_Biological_Process_2023,Presynapse Assembly (GO:0099054),1/15,0.0295936471887674,0.1418502364521779,0,0,36.53113553113553,128.5967411966507,PTEN
GO_Biological_Process_2023,Phosphatidylinositol Dephosphorylation (GO:0046856),1/16,0.0315359102498904,0.1418502364521779,0,0,34.0940170940171,117.85034688899692,PTEN
GO_Biological_Process_2023,Regulation Of B Cell Receptor Signaling Pathway (GO:0050855),1/16,0.0315359102498904,0.1418502364521779,0,0,34.0940170940171,117.85034688899692,SLC39A10
GO_Biological_Process_2023,Regulation Of Golgi Organization (GO:1903358),1/16,0.0315359102498904,0.1418502364521779,0,0,34.0940170940171,117.85034688899692,CAMSAP2
GO_Biological_Process_2023,Ruffle Organization (GO:0031529),1/16,0.0315359102498904,0.1418502364521779,0,0,34.0940170940171,117.85034688899692,ARF6
GO_Biological_Process_2023,Transepithelial Transport (GO:0070633),1/17,0.0334743831049907,0.1418502364521779,0,0,31.96153846153846,108.57254123777712,CXADR
GO_Biological_Process_2023,Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666),1/17,0.0334743831049907,0.1418502364521779,0,0,31.96153846153846,108.57254123777712,PTEN
GO_Biological_Process_2023,Central Nervous System Neuron Development (GO:0021954),1/17,0.0334743831049907,0.1418502364521779,0,0,31.96153846153846,108.57254123777712,PTEN
GO_Biological_Process_2023,Positive Regulation Of Peptidyl-Lysine Acetylation (GO:2000758),1/17,0.0334743831049907,0.1418502364521779,0,0,31.96153846153846,108.57254123777712,MYBBP1A
GO_Biological_Process_2023,Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706),1/17,0.0334743831049907,0.1418502364521779,0,0,31.96153846153846,108.57254123777712,PTEN
GO_Biological_Process_2023,Negative Regulation Of Cellular Senescence (GO:2000773),1/17,0.0334743831049907,0.1418502364521779,0,0,31.96153846153846,108.57254123777712,PTEN
GO_Biological_Process_2023,Regulation Of Cold-Induced Thermogenesis (GO:0120161),2/146,0.0344512523131503,0.1418502364521779,0,0,7.242690058479532,24.39490057899528,ZNF516;OMA1
GO_Biological_Process_2023,Neuron Projection Morphogenesis (GO:0048812),2/146,0.0344512523131503,0.1418502364521779,0,0,7.242690058479532,24.39490057899528,PARD6B;PTEN
GO_Biological_Process_2023,Protein Autoprocessing (GO:0016540),1/18,0.035409072945574,0.1418502364521779,0,0,30.07993966817496,100.49067723322013,OMA1
GO_Biological_Process_2023,Maintenance Of Protein Location In Nucleus (GO:0051457),1/18,0.035409072945574,0.1418502364521779,0,0,30.07993966817496,100.49067723322013,BARD1
GO_Biological_Process_2023,Regulation Of DNA Damage Checkpoint (GO:2000001),1/18,0.035409072945574,0.1418502364521779,0,0,30.07993966817496,100.49067723322013,BARD1
GO_Biological_Process_2023,Epithelial Structure Maintenance (GO:0010669),1/19,0.0373399869476018,0.1418502364521779,0,0,28.40740740740741,93.39476319093392,CXADR
