Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,RNA degradation,2/79,0.010903898802162,0.4066795731208072,0,0,13.590567327409431,61.41081136661272,CNOT6L;PAN3
KEGG_2021_Human,Protein export,1/23,0.0450260276423818,0.4066795731208072,0,0,23.23776223776224,72.04902026138872,SRP9
KEGG_2021_Human,RNA transport,2/186,0.0532849215592554,0.4066795731208072,0,0,5.65675057208238,16.586169017687507,EIF4A2;SMN2
KEGG_2021_Human,Homologous recombination,1/41,0.0788791803782376,0.4066795731208072,0,0,12.76923076923077,32.43177702110549,BARD1
KEGG_2021_Human,Endocytosis,2/252,0.0902961898549765,0.4066795731208072,0,0,4.149473684210526,9.978073446514214,PARD6B;ARF6
KEGG_2021_Human,Endometrial cancer,1/58,0.1097756136960141,0.4066795731208072,0,0,8.953216374269006,19.780491994878307,PTEN
KEGG_2021_Human,Viral myocarditis,1/60,0.1133433698574306,0.4066795731208072,0,0,8.648848326814429,18.83142630233209,CXADR
KEGG_2021_Human,Central carbon metabolism in cancer,1/70,0.1309740738102379,0.4066795731208072,0,0,7.391675956893348,15.025472802964124,PTEN
KEGG_2021_Human,Melanoma,1/72,0.1344589680989366,0.4066795731208072,0,0,7.182737450343084,14.412135373708946,PTEN
KEGG_2021_Human,p53 signaling pathway,1/73,0.1361963019538339,0.4066795731208072,0,0,7.082621082621083,14.12032444596875,PTEN
KEGG_2021_Human,Inositol phosphate metabolism,1/73,0.1361963019538339,0.4066795731208072,0,0,7.082621082621083,14.12032444596875,PTEN
KEGG_2021_Human,Glioma,1/75,0.1396607755438737,0.4066795731208072,0,0,6.8905058905058905,13.564228393430945,PTEN
KEGG_2021_Human,Human papillomavirus infection,2/331,0.1416080712905479,0.4066795731208072,0,0,3.140457526795713,6.1386275139541695,PARD6B;PTEN
KEGG_2021_Human,PD-L1 expression and PD-1 checkpoint pathway in cancer,1/89,0.1635355972760016,0.4066795731208072,0,0,5.79020979020979,10.484475259971711,PTEN
KEGG_2021_Human,Morphine addiction,1/91,0.1668931140336256,0.4066795731208072,0,0,5.660968660968661,10.135407955018016,PDE7A
KEGG_2021_Human,Small cell lung cancer,1/92,0.1685669413334706,0.4066795731208072,0,0,5.598478444632291,9.967656037632254,PTEN
KEGG_2021_Human,Phosphatidylinositol signaling system,1/97,0.1768870171431343,0.4066795731208072,0,0,5.305555555555555,9.190517156845226,PTEN
KEGG_2021_Human,Fc gamma R-mediated phagocytosis,1/97,0.1768870171431343,0.4066795731208072,0,0,5.305555555555555,9.190517156845226,ARF6
KEGG_2021_Human,Prostate cancer,1/97,0.1768870171431343,0.4066795731208072,0,0,5.305555555555555,9.190517156845226,PTEN
