"GeneSymbol","Module"
"BPIFA1","grey"
"BPIFB1","grey"
"LTF","black"
"LYZ","black"
"IGHG1","purple"
"RNR2","red"
"COX1","grey"
"RNA45SN5","red"
"RNA18SN5","red"
"RNA45SN1","red"
"RNA18SN1","red"
"PIGR","black"
"IGHA1","purple"
"IGHG4","tan"
"IGKC","purple"
"DMBT1","black"
"MUC5AC","grey"
"IGHG2","purple"
"CYTB","red"
"STATH","black"
"ND4","grey"
"EEF1A1","brown"
"LOC105372593","grey"
"MUC5B","grey"
"RNA45SN4","red"
"RNA18SN4","red"
"RNA45SN3","red"
"RNA18SN3","red"
"JCHAIN","purple"
"BPIFB3","grey"
"B2M","pink"
"KRT6A","greenyellow"
"SERPINB3","brown"
"IGHG3","purple"
"FOS","grey"
"AQP3","greenyellow"
"RNA45SN2","red"
"RNA18SN2","red"
"IGHA2","purple"
"ND5","grey"
"IGHM","grey"
"ALDH3A1","grey"
"DUSP1","grey"
"ACTB","yellow"
"CD74","grey"
"BPIFB2","black"
"GAPDH","brown"
"IGLC2","purple"
"KRT19","brown"
"COX3","red"
"ACTG1","brown"
"MUC7","grey"
"SAT1","pink"
"ANXA2","brown"
"CLU","grey"
"CRISP3","black"
"IGFBP3","brown"
"CTSB","turquoise"
"KRT17","brown"
"ATP6","red"
"ND1","red"
"GLUL","grey"
"FTL","yellow"
"TCN1","black"
"ND2","red"
"TSPAN1","blue"
"COL1A2","magenta"
"ZG16B","black"
"KRT14","greenyellow"
"PSAP","yellow"
"C6ORF58","black"
"AZGP1","black"
"CXCL10","pink"
"KRT5","greenyellow"
"HLA-DRA","yellow"
"RPL3","red"
"POSTN","yellow"
"PRB3","black"
"KRT13","greenyellow"
"KRT8","brown"
"MUC16","blue"
"XBP1","grey"
"HLA-B","grey"
"ANXA1","brown"
"COL1A1","magenta"
"IGLC3","purple"
"HLA-E","pink"
"NEAT1","grey"
"PRSS23","brown"
"WARS1","pink"
"SLPI","black"
"FN1","yellow"
"EPAS1","grey"
"IGHGP","purple"
"RNR1","red"
"CEACAM5","grey"
"NR4A1","grey"
"RARRES1","grey"
"PERP","brown"
"ALOX15","grey"
"LDHA","brown"
"HSPA8","turquoise"
"ND4L","grey"
"COX2","red"
"TUBA1A","blue"
"NDRG2","black"
"COL3A1","magenta"
"SPARC","magenta"
"MIR10393","pink"
"EEF1G","brown"
"CFB","pink"
"IFIT2","pink"
"TSC22D1","grey"
"MX1","pink"
"AGR2","grey"
"TXNIP","grey"
"F13A1","yellow"
"TUBB4B","blue"
"MMP10","brown"
"DDX5","turquoise"
"AQP1","green"
"PIP","black"
"HP","black"
"TPT1","red"
"ZFP36","grey"
"ALDH1A1","grey"
"LUM","magenta"
"CAPN13","grey"
"HLA-C","yellow"
"CYP4B1","blue"
"RPL4","brown"
"BTG2","grey"
"A2M","green"
"TACSTD2","brown"
"ELAPOR1","black"
"IFIT1","pink"
"UBC","turquoise"
"STAT1","pink"
"JUNB","grey"
"IGLL5","purple"
"RPLP0","red"
"ATP5F1B","brown"
"CLDN4","grey"
"PKM","grey"
"C1S","yellow"
"IGLC1","purple"
"C3","grey"
"PLTP","yellow"
"LCN2","grey"
"ND6","grey"
"P4HB","black"
"DCN","magenta"
"ACTA2","green"
"CCN2","grey"
"CTSD","brown"
"IFIT3","pink"
"CD59","turquoise"
"LGALS3BP","pink"
"PRB1","grey"
"CD9","brown"
"CCL18","yellow"
"IGHD","grey"
"TMBIM6","turquoise"
"HLA-A","yellow"
"RACK1","red"
"FCGBP","grey"
"F3","grey"
"FBLN1","grey"
"ALDOA","brown"
"MALAT1","turquoise"
"EEF2","grey"
"LOC112694756","brown"
"XIST","grey"
"PDIA3","turquoise"
"GSN","grey"
"SLC12A2","black"
"KRT16","greenyellow"
"H3-3B","turquoise"
"MUC4","grey"
"ENO1","brown"
"CD55","grey"
"ELF3","brown"
"LMNA","salmon"
"SOD2","pink"
"THBS1","grey"
"KRT18","brown"
"TALAM1","turquoise"
"RPL5","red"
"CALM2","brown"
"VIM","green"
"APP","turquoise"
"FOSB","grey"
"TSPAN3","brown"
"ADAM28","grey"
"GP2","grey"
"IGHJ6","purple"
"TOB1","grey"
"EIF4G2","turquoise"
"IGHJ4","purple"
"LPO","black"
"SPRR3","greenyellow"
"DSTN","turquoise"
"EHF","black"
"CES1","blue"
"IDO1","pink"
"C1R","yellow"
"RPSA","red"
"CAPS","blue"
"RPL15","brown"
"HSP90AB1","turquoise"
"VWF","green"
"TNC","grey"
"CD24","blue"
"HSPA5","turquoise"
"SLC44A4","blue"
"TNFSF10","pink"
"CCN1","grey"
"KRT4","greenyellow"
"CXCL11","pink"
"ATF3","grey"
"HLA-DRB1","yellow"
"TPI1","brown"
"TRIM29","greenyellow"
"EZR","blue"
"ITM2B","grey"
"ATP8","red"
"SERPINB4","brown"
"KRT15","grey"
"TUBA1B","turquoise"
"SARAF","turquoise"
"RPS4X","red"
"SERPING1","pink"
"DHRS3","brown"
"TMEM59","brown"
"HNRNPK","turquoise"
"TAGLN2","brown"
"CSRP1","green"
"MYH11","green"
"NCOA7","grey"
"CANX","turquoise"
"CTSC","yellow"
"NR4A2","grey"
"GRN","grey"
"SFRP2","magenta"
"IGHV3-33","yellow"
"IGHJ5","purple"
"PGK1","brown"
"YWHAZ","grey"
"MUC2","grey"
"TMED2","turquoise"
"TGM2","pink"
"HLA-DPA1","yellow"
"HSP90B1","grey"
"IER2","grey"
"PTP4A1","salmon"
"ADH1C","grey"
"HERPUD1","turquoise"
"BHLHE40","grey"
"HLA-DRB5","yellow"
"UPK1B","greenyellow"
"CP","grey"
"RPL13A","red"
"KRT7","grey"
"EIF3L","brown"
"IGKV3-20","purple"
"SPINT2","brown"
"KRT6B","greenyellow"
"OAS1","pink"
"CNBP","turquoise"
"GABRP","turquoise"
"IGKV4-1","pink"
"FLNA","green"
"JUN","grey"
"RSAD2","pink"
"TSC22D3","grey"
"ATP5F1A","turquoise"
"HSP90AA1","blue"
"CD164","turquoise"
"IGKJ4","purple"
"HNRNPA1","brown"
"RPS3A","red"
"RPS3","red"
"CEACAM6","grey"
"SRP9","turquoise"
"TUBB","turquoise"
"PROM1","turquoise"
"PABPC1","grey"
"CALM1","blue"
"CD46","turquoise"
"SERPINA3","grey"
"PRDX1","red"
"IGHV3-23","purple"
"OAS3","pink"
"EIF4A2","turquoise"
"ODAM","black"
"C6ORF62","turquoise"
"SOCS3","grey"
"IGFBP7","grey"
"IGFBP4","grey"
"TAP1","pink"
"IGHV3-21","purple"
"SELE","salmon"
"IFI44L","pink"
"SERP1","turquoise"
"CYP2F1","grey"
"TPPP3","blue"
"ETS2","grey"
"IGKJ1","purple"
"FTH1","red"
"CPA4","greenyellow"
"SLC25A3","brown"
"SLC2A1","grey"
"IGKV2-28","purple"
"LYPD3","greenyellow"
"ATP1B3","grey"
"ACTA2-AS1","green"
"SDCBP","turquoise"
"PPP1R15A","grey"
"UCP2","blue"
"APLP2","turquoise"
"IGKV3-15","purple"
"ARRDC3","turquoise"
"RPL7A","red"
"OAT","turquoise"
"DHCR24","grey"
"CNN3","turquoise"
"TM9SF2","turquoise"
"GBP1","pink"
"LAMB3","grey"
"ZMYND10","blue"
"CLDN1","grey"
"ARF1","turquoise"
"LAP3","pink"
"IVNS1ABP","turquoise"
"ADH7","grey"
"DSP","greenyellow"
"KRT6C","greenyellow"
"IGKJ2","purple"
"CXCL1","grey"
"ADAMTS1","salmon"
"BEST1","red"
"TF","grey"
"GPNMB","yellow"
"CA2","black"
"TMEM123","turquoise"
"PHLDA1","black"
"SEC61A1","turquoise"
"PPP1CB","turquoise"
"EGLN3","brown"
"CDHR3","blue"
"TMED10","turquoise"
"SPARCL1","green"
"HDLBP","turquoise"
"PDLIM1","brown"
"GPRC5A","grey"
"LGALS3","red"
"DAZAP2","turquoise"
"CA12","grey"
"RPS6","red"
"SELENOP","yellow"
"TRIM22","pink"
"ATP1A1","grey"
"JUP","greenyellow"
"RPL8","red"
"VCAN","magenta"
"IGHV3-74","pink"
"SDC1","grey"
"ARPC2","brown"
"TMPRSS4","brown"
"SLC25A5","brown"
"CD44","grey"
"ANXA5","turquoise"
"ATP2A3","black"
"AEBP1","magenta"
"EIF1","grey"
"SHISA5","grey"
"LGMN","yellow"
"MYH9","grey"
"DHRS9","blue"
"RPS2","red"
"TPM4","magenta"
"CDKN1A","salmon"
"MX2","pink"
"LDHB","brown"
"SLC37A2","black"
"SNTN","blue"
"AHNAK","grey"
"OAS2","pink"
"LAPTM4A","turquoise"
"MSMB","grey"
"TAPBP","pink"
"RHOA","turquoise"
"NOS2","grey"
"DUSP6","black"
"EFHC1","blue"
"SERPINF1","brown"
"SQSTM1","brown"
"MFAP4","green"
"GHITM","brown"
"ADIPOR1","brown"
"ABCA13","blue"
"NQO1","blue"
"TM4SF1","black"
"RPL10","red"
"GSTP1","red"
"EFEMP1","grey"
"GJB2","brown"
"UGT2A1","grey"
"DNAJA1","turquoise"
"GPX3","green"
"RPL7","red"
"ANKRD10","turquoise"
"PRB4","grey"
"PIFO","blue"
"NCOA4","turquoise"
"CYP24A1","grey"
"UBB","red"
"NUCB2","black"
"TMED3","black"
"ICAM1","salmon"
"MAT2A","grey"
"ACADVL","grey"
"MMP2","magenta"
"SLC6A6","grey"
"YWHAQ","brown"
"MCL1","grey"
"UQCRC1","brown"
"NPM1","brown"
"RPN2","turquoise"
"PAM","turquoise"
"HS3ST1","brown"
"TSIX","grey"
"NAMPT","grey"
"SEPTIN2","turquoise"
"RBM3","brown"
"SRPRA","black"
"CREG1","grey"
"CLDN7","brown"
"LCP1","yellow"
"CD163","yellow"
"SELENBP1","blue"
"IGHV3-30","purple"
"SLC25A6","brown"
"PLAT","green"
"MUC20","blue"
"NFE2L2","brown"
"SRSF6","turquoise"
"KLF6","grey"
"FHL1","green"
"CDH11","magenta"
"IGKV1-5","purple"
"MSN","yellow"
"CAPN2","grey"
"IGHE","greenyellow"
"SCPEP1","turquoise"
"POR","blue"
"ITGB1","magenta"
"SRSF5","turquoise"
"LY6E","pink"
"NFKBIA","salmon"
"HNRNPA2B1","turquoise"
"ARF4","turquoise"
"SPAG6","blue"
"SLC34A2","grey"
"RPN1","turquoise"
"UBE2D3","turquoise"
"MPZL2","turquoise"
"C4A","grey"
"ZFAND5","grey"
"IGLJ2","purple"
"SGK1","grey"
"IGKV2D-28","purple"
"DES","green"
"TRAM1","turquoise"
"ASS1","grey"
"CTSS","yellow"
"DNAJC3","turquoise"
"RNF213","pink"
"LAPTM5","yellow"
"IDH2","brown"
"VMP1","grey"
