Symbol	GSM2705366	GSM2705367	GSM2705368	GSM2705369	GSM2705370	GSM2705371	GSM2705372	GSM2705373	GSM2705374	GSM2705375	GSM2705376	GSM2705377	GSM2705378	GSM2705379	GSM2705380	GSM2705381	GSM2705382	GSM2705383	GSM2705384	GSM2705385	GSM2705386	GSM2705387	GSM2705388	GSM2705389	GSM2705390	GSM2705391	GSM2705392	GSM2705393	GSM2705394	GSM2705395	GSM2705396	GSM2705397	GSM2705398	GSM2705399	GSM2705400	GSM2705401	GSM2705402	GSM2705403	GSM2705404	GSM2705405	GSM2705406	GSM2705407	GSM2705408	GSM2705409	GSM2705410	GSM2705411	GSM2705412	GSM2705413	GSM2705414	GSM2705415	GSM2705416	GSM2705417	GSM2705418	GSM2705419	GSM2705420	GSM2705421	GSM2705422	GSM2705423	GSM2705424	GSM2705425	GSM2705426	GSM2705427	GSM2705428	GSM2705429	GSM2705430	GSM2705431	GSM2705432	GSM2705433	GSM2705434	GSM2705435	GSM2705436	GSM2705437	GSM2705438	GSM2705439	GSM2705440	GSM2705441	GSM2705442	GSM2705443	GSM2705444	GSM2705445	GSM2705446	GSM2705447	GSM2705448	GSM2705449	GSM2705450	GSM2705451
AATK	18.43	21.07	22.56	16.6	18.11	19.16	22.11	48.09	31.78	22.72	22.8	19.96	23.79	17.84	23.25	14.92	16.43	20.95	32.6	21.55	22.63	42.44	22.09	26.7	33.38	21.41	41.59	33.59	19.11	33.74	50.47	26.69	24.84	27.75	36.44	31.44	37.58	29.68	17.75	36.15	39.97	36.56	30.69	58.83	31.18	31.96	69.36	38.08	55.53	25.48	35.99	25.13	37.45	33.89	31.83	35.86	29.97	35.77	34.12	0.0	0.05721	0.7097	0.0	0.02641	0.129	0.1501	0.3213	0.04849	0.0	0.0	0.06308	0.06688	0.1999	0.01813	0.0	0.0	0.0	0.1879	0.0195	0.1189	0.0	0.4124	0.5296	0.08239	0.4278	0.0
AGRN	12.36	12.72	11.71	11.39	10.67	12.23	8.062	22.97	13.76	4.235	13.01	11.16	12.68	11.64	21.16	12.82	8.089	9.99	22.97	11.67	12.19	12.32	10.59	8.353	10.31	10.4	15.07	16.73	11.55	18.49	12.19	11.65	13.83	10.19	19.43	20.32	20.52	18.76	18.13	22.24	18.35	22.44	21.49	25.79	15.85	21.64	19.22	24.26	20.36	19.49	14.74	18.47	18.48	24.55	15.77	17.45	18.82	15.57	15.72	0.05622	0.2326	0.08746	0.08711	0.1074	0.306	0.1356	0.08709	0.0	0.0	0.04696	0.04275	0.0	0.1355	0.0	0.0	0.0	0.0369	0.2866	0.0	0.0	0.0	0.5191	0.2284	0.05584	0.1933	0.0
AJM1	4.415	3.81	3.803	3.408	3.728	5.18	3.415	13.84	4.832	1.011	5.936	6.025	4.028	4.909	5.682	4.647	2.411	3.15	9.775	5.901	7.88	4.428	1.828	3.136	9.005	6.557	8.871	7.3	5.949	7.804	5.55	4.913	8.577	3.817	4.515	5.845	8.767	4.775	6.677	8.57	5.841	12.72	6.194	11.21	6.857	7.354	12.36	10.71	12.58	5.925	6.053	11.79	5.588	14.59	5.513	7.653	7.172	5.347	8.271	0.4302	0.1978	0.2231	0.8889	0.137	0.3345	0.173	0.1111	0.0	0.09931	0.0	0.0	0.0	0.08638	0.0	0.05279	0.05382	0.0	0.0	0.0	0.2055	0.0	0.5093	0.2497	0.07122	0.6163	0.0
APC2	20.12	23.46	18.19	15.93	16.22	18.37	15.8	43.96	25.63	8.234	25.43	21.72	24.03	21.36	24.57	18.74	14.57	19.42	38.12	20.29	23.88	18.36	17.94	19.09	30.84	22.76	25.1	33.83	22.59	31.32	25.49	24.03	25.06	21.24	35.15	40.14	36.93	26.54	27.06	37.86	36.99	45.91	34.94	49.74	34.03	31.74	43.84	45.54	67.88	36.89	34.65	40.59	25.05	47.97	28.3	39.34	30.39	31.83	34.28	0.304	0.9883	2.263	0.2019	0.3594	1.519	0.3404	0.6727	0.0	0.0	0.2902	0.03302	0.6302	0.6016	0.0	0.0	0.04889	0.05701	1.008	0.02042	0.5187	0.0	2.868	1.185	0.08626	0.9704	0.02802
CASKIN1	22.57	22.9	21.67	19.37	18.76	21.14	15.94	45.48	21.88	3.426	24.37	19.72	23.92	25.27	25.33	19.51	13.91	21.01	33.4	23.07	28.8	18.9	14.59	17.24	29.85	27.84	31.44	32.72	24.25	30.96	18.65	24.53	28.59	19.78	31.97	34.78	37.5	29.15	25.05	41.0	31.3	45.25	34.26	38.63	30.08	34.2	37.46	44.99	44.33	35.84	30.14	36.71	30.39	47.92	29.33	38.75	34.72	30.11	31.95	0.3912	0.5936	0.9129	0.2425	0.1495	0.7909	0.2831	0.2424	0.09148	0.1626	0.1961	0.0	0.1893	0.5656	0.0	0.05761	0.02937	0.07704	0.3545	0.05519	0.3739	0.07944	1.278	0.9991	0.1943	0.7398	0.0
CAVIN2	4.181	5.36	6.234	6.271	5.371	3.828	6.52	27.68	11.08	5.385	3.655	4.047	7.59	6.231	7.301	4.673	3.247	3.286	11.22	7.554	9.08	5.027	4.379	12.08	7.952	2.954	6.134	7.898	2.924	5.382	2.909	5.455	7.646	6.933	6.112	7.08	4.692	7.856	8.192	5.937	10.54	19.83	4.853	15.51	10.01	8.305	30.98	5.517	13.04	11.2	7.382	10.16	9.569	13.76	7.669	7.034	14.26	9.782	23.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03517	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CIC	7.234	8.434	7.024	5.361	7.275	8.671	6.178	22.2	11.8	4.355	9.163	8.265	8.133	8.959	9.943	6.946	4.578	6.955	17.72	10.28	13.46	10.93	6.249	14.12	18.94	12.1	15.06	17.86	10.44	16.66	11.02	10.22	15.57	8.901	14.0	13.25	15.99	11.59	9.563	16.06	11.46	20.16	13.18	19.4	12.9	13.36	20.59	19.98	25.6	14.53	12.82	15.56	11.82	20.64	10.9	15.85	12.86	11.37	13.25	0.0	0.1848	0.5002	0.2491	0.1194	0.25	0.1293	0.0	0.0	0.03711	0.04476	0.0	0.1728	0.1614	0.01171	0.01973	0.0	0.05276	0.2125	0.0	0.1024	0.0272	0.7993	0.4665	0.1331	0.3455	0.0
FASN	27.37	34.71	24.43	19.2	23.27	30.79	26.75	70.63	41.84	10.87	37.18	31.35	33.64	33.4	29.48	28.08	21.21	30.69	65.5	30.38	42.06	33.79	26.37	33.9	55.54	35.25	43.59	43.4	35.6	46.83	37.98	37.14	39.79	31.11	47.69	54.22	59.87	44.12	33.01	58.67	48.17	64.72	47.59	63.75	49.37	44.18	52.28	68.52	59.67	56.05	48.04	43.11	41.52	64.43	41.85	53.61	44.99	46.64	52.48	0.1607	0.7018	2.208	0.5809	0.358	1.416	0.323	0.9126	0.0	0.0	0.04474	0.0	0.2159	0.8388	0.03511	0.03943	0.0	0.07031	0.5763	0.0	0.5374	0.0	2.701	1.368	0.2394	1.036	0.0
HAPLN4	5.034	10.8	14.59	5.911	9.683	18.69	8.905	22.52	11.23	0.1952	7.783	6.662	12.53	13.93	9.254	2.212	12.55	11.87	32.75	18.87	27.77	7.295	3.13	9.086	18.69	16.15	20.84	24.68	17.86	26.35	15.45	12.7	6.774	11.64	9.306	29.19	23.27	18.69	2.019	29.49	16.66	30.96	19.92	25.15	19.99	19.46	11.47	48.02	32.33	21.99	16.91	19.22	21.44	30.76	19.45	19.56	21.83	12.62	22.8	0.0	0.1451	0.2455	0.0	0.0335	0.1636	0.1269	0.0	0.0	0.0	0.0	0.0	0.0	0.1268	0.0	0.0	0.03949	0.0	0.1192	0.0	0.1005	0.0	0.07474	0.2443	0.1045	0.2261	0.0
HCN2	18.29	19.25	16.95	10.43	12.35	18.0	13.57	34.93	22.31	8.279	17.95	15.15	20.05	16.08	16.59	11.97	13.97	16.8	32.17	19.31	24.1	18.64	13.18	20.67	28.87	18.0	26.81	31.69	14.86	32.59	15.16	20.22	19.55	17.78	25.62	35.24	38.81	23.07	17.03	41.05	37.53	38.68	26.25	37.99	32.05	28.72	35.43	45.69	47.01	29.76	30.65	30.36	28.0	48.04	29.39	35.46	28.9	28.91	32.41	0.0	0.09214	0.0	0.621	0.08506	0.2077	0.08057	0.0	0.0	0.0	0.2232	0.0	0.0	0.2414	0.0	0.0	0.0	0.04385	0.0	0.0	0.3191	0.06781	0.09489	0.6978	0.0	0.9186	0.0
HES6	11.39	12.23	19.48	10.13	12.54	13.82	15.99	32.24	17.89	8.551	18.81	16.72	21.28	9.528	13.39	9.36	12.47	7.002	16.59	11.29	8.109	5.864	10.56	13.67	4.389	7.52	9.93	8.69	6.469	16.48	14.16	12.65	28.69	11.95	8.749	27.53	15.98	18.99	14.15	15.69	25.26	20.88	15.97	27.91	24.13	19.56	16.25	33.66	26.11	16.8	16.48	15.98	21.18	32.4	16.83	17.31	15.57	18.5	18.45	0.0	0.2303	0.5196	0.0	0.0	1.298	0.6043	1.035	0.0	0.0	0.558	0.0	0.2693	0.2012	0.0	0.0	0.0	0.0	0.3783	0.0	0.6383	0.0	1.186	0.5815	0.1659	0.1435	0.0
